> #summary of model 
> summary(model_gbm)
                                                                                var     rel.inf
SHOT_DIST                                                                 SHOT_DIST 58.57271156
CLOSE_DEF_DIST                                                       CLOSE_DEF_DIST 25.75650712
CLOSEST_DEFENDERCALATHES, NICK                       CLOSEST_DEFENDERCALATHES, NICK  0.00000000
CLOSEST_DEFENDERCALDWELL-POPE, KENTAVIOUS CLOSEST_DEFENDERCALDWELL-POPE, KENTAVIOUS  0.00000000
CLOSEST_DEFENDERCANAAN, ISAIAH                       CLOSEST_DEFENDERCANAAN, ISAIAH  0.00000000
CLOSEST_DEFENDERCAPELA, CLINT                         CLOSEST_DEFENDERCAPELA, CLINT  0.00000000
CLOSEST_DEFENDERCARROLL, DEMARRE                   CLOSEST_DEFENDERCARROLL, DEMARRE  0.00000000
CLOSEST_DEFENDERCARTER-WILLIAMS, MICHAEL   CLOSEST_DEFENDERCARTER-WILLIAMS, MICHAEL  0.00000000
CLOSEST_DEFENDERCARTER, VINCE                         CLOSEST_DEFENDERCARTER, VINCE  0.00000000
CLOSEST_DEFENDERCASSPI, OMRI                           CLOSEST_DEFENDERCASSPI, OMRI  0.00000000
CLOSEST_DEFENDERCHALMERS, MARIO                     CLOSEST_DEFENDERCHALMERS, MARIO  0.00000000
CLOSEST_DEFENDERCHANDLER, TYSON                     CLOSEST_DEFENDERCHANDLER, TYSON  0.00000000
CLOSEST_DEFENDERCHANDLER, WILSON                   CLOSEST_DEFENDERCHANDLER, WILSON  0.00000000
CLOSEST_DEFENDERCHERRY, WILL                           CLOSEST_DEFENDERCHERRY, WILL  0.00000000
CLOSEST_DEFENDERCHRISTOPHER, PATRICK           CLOSEST_DEFENDERCHRISTOPHER, PATRICK  0.00000000
CLOSEST_DEFENDERCLARK, IAN                               CLOSEST_DEFENDERCLARK, IAN  0.00000000
CLOSEST_DEFENDERCLARKSON, JORDAN                   CLOSEST_DEFENDERCLARKSON, JORDAN  0.00000000
CLOSEST_DEFENDERCLAVER, VICTOR                       CLOSEST_DEFENDERCLAVER, VICTOR  0.00000000
CLOSEST_DEFENDERCOLE, NORRIS                           CLOSEST_DEFENDERCOLE, NORRIS  0.00000000
CLOSEST_DEFENDERCOLLISON, DARREN                   CLOSEST_DEFENDERCOLLISON, DARREN  0.00000000
CLOSEST_DEFENDERCOLLISON, NICK                       CLOSEST_DEFENDERCOLLISON, NICK  0.00000000
CLOSEST_DEFENDERCONLEY, MIKE                           CLOSEST_DEFENDERCONLEY, MIKE  0.00000000
CLOSEST_DEFENDERCOPELAND, CHRIS                     CLOSEST_DEFENDERCOPELAND, CHRIS  0.00000000
CLOSEST_DEFENDERCOUSINS, DEMARCUS                 CLOSEST_DEFENDERCOUSINS, DEMARCUS  0.00000000
CLOSEST_DEFENDERCOVINGTON, ROBERT                 CLOSEST_DEFENDERCOVINGTON, ROBERT  0.00000000
CLOSEST_DEFENDERCRABBE, ALLEN                         CLOSEST_DEFENDERCRABBE, ALLEN  0.00000000
CLOSEST_DEFENDERCRAWFORD, JAMAL                     CLOSEST_DEFENDERCRAWFORD, JAMAL  0.00000000
CLOSEST_DEFENDERCROWDER, JAE                           CLOSEST_DEFENDERCROWDER, JAE  0.00000000
CLOSEST_DEFENDERCUNNINGHAM, DANTE                 CLOSEST_DEFENDERCUNNINGHAM, DANTE  0.00000000
CLOSEST_DEFENDERCUNNINGHAM, JARED                 CLOSEST_DEFENDERCUNNINGHAM, JARED  0.00000000
CLOSEST_DEFENDERCURRY, STEPHEN                       CLOSEST_DEFENDERCURRY, STEPHEN  0.00000000
CLOSEST_DEFENDERDALEMBERT, SAMUEL                 CLOSEST_DEFENDERDALEMBERT, SAMUEL  0.00000000
CLOSEST_DEFENDERDANIELS, TROY                         CLOSEST_DEFENDERDANIELS, TROY  0.00000000
CLOSEST_DEFENDERDATOME, GIGI                           CLOSEST_DEFENDERDATOME, GIGI  0.00000000
CLOSEST_DEFENDERDAVIES, BRANDON                     CLOSEST_DEFENDERDAVIES, BRANDON  0.00000000
