CLOSEST_DEFENDER,player_name,LOCATION,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME
"DRUMMOND, ANDRE","HINRICH, KIRK",,,,125,12.5,,12.6
"DUDLEY, JARED","HOLIDAY, JRUE",,,,126,12.6,,12.7
"DUNCAN, TIM","HORFORD, AL",,,,127,12.7,,12.8
"DUNLEAVY, MIKE","HOWARD, DWIGHT",,,,128,12.8,,12.9
"DURANT, KEVIN","HUMMEL, ROBBIE",,,,129,12.9,,13
"EARLY, CLEANTHONY","HUMPHRIES, KRIS",,,,130,13,,13.1
"ELLINGTON, WAYNE","IBAKA, SERGE",,,,131,13.1,,13.2
"ELLIS, MONTA","IGUODALA, ANDRE",,,,132,13.2,,13.3
"ENNIS, JAMES","INGLES, JON",,,,133,13.3,,13.4
"ENNIS, TYLER","IRVING, KYRIE",,,,134,13.4,,13.5
"EVANS, JEREMY","JACK, JARRETT",,,,135,13.5,,13.6
"EVANS, REGGIE","JACKSON, REGGIE",,,,136,13.6,,13.7
"EVANS, TYREKE","JAMES, LEBRON",,,,137,13.7,,13.8
"EXUM, DANTE","JEFFERSON, AL",,,,138,13.8,,13.9
"EZELI, FESTUS","JEFFERSON, RICHARD",,,,139,13.9,,14
"FARIED, KENNETH","JENNINGS, BRANDON",,,,140,14,,14.1
"FARMAR, JORDAN","JEREBKO, JONAS",,,,141,14.1,,14.2
"FAVORS, DERRICK","JOHNSON, AMIR",,,,142,14.2,,14.3
"FELTON, RAYMOND","JOHNSON, JAMES",,,,143,14.3,,14.4
"FIELDS, LANDRY","JOHNSON, JOE",,,,144,14.4,,14.5
"FOURNIER, EVAN","JOHNSON, WESLEY",,,,145,14.5,,14.6
"FOYE, RANDY","JORDAN, DEANDRE",,,,146,14.6,,14.7
"FRAZIER, TIM","JORDAN, JEROME",,,,147,14.7,,14.8
"FREDETTE, JIMMER","JOSEPH, CORY",,,,148,14.8,,14.9
